ID_Barang,Nama_Spesifikasi,Kategori,Jumlah,Satuan,Kondisi,Lokasi,Terakhir_Update,Catatan
COMP-001,Baterai 3.7V,Batteries,2,pcs,Good,Box 03,2026-07-11,-
COMP-002,Baterai 3.7V 1800mAh,Baterai & Daya,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-003,Baterai 3.7V 1800mAh,Baterai & Daya,1,pcs,Drop (3.0V),Laci / Box Bening,2026-07-11,
COMP-004,Baterai 3.7V 500mAh,Baterai & Daya,2,pcs,3.5V (Normal),Laci / Box Bening,2026-07-11,
COMP-005,Baterai AA 1200mAh (Cas),Baterai & Daya,2,pcs,Baru,Laci / Box Bening,2026-07-11,
COMP-006,Baterai 3.7V 10000mAh,Baterai & Daya,3,pcs,1 Nyala,Laci / Box Bening,2026-07-11,
COMP-007,Baterai 3.7V 10000mAh,Baterai & Daya,4,pcs,Rusak / Drop,Laci / Box Bening,2026-07-11,
COMP-008,Baterai AA,Baterai & Daya,2,pcs,Drop 1.0V,Laci / Box Bening,2026-07-11,
COMP-009,Modul TPA 3110 Mini Ampli,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-010,USB-C Female,Konektor,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-011,Modul Jam,Modul Elektronik,4,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-012,Pinset,Alat Kerja,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-013,Jack DC Male,Konektor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-014,Jack DC Female,Konektor,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-015,Sakelar DC Sedang,Sakelar,3,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-016,Sakelar DC Kecil,Sakelar,14,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-017,Modul Step Up Down,Modul Elektronik,1,pcs,Rusak,Laci / Box Bening,2026-07-11,
COMP-018,Lampu Neon Acak,Lampu & Indikator,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-019,Baterai Kotak 9V 650mAh,Baterai & Daya,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-020,Lampu Bohlam 3W,Lampu & Indikator,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-021,Modul Charger 5V,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
